rank,trend,streams,popularity,duration_ms,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,language_id,date
1.0,1.0,253019.0,78.0,195840.0,0.852,0.773,8.0,-2.921,0.0,0.0776,0.187,3.05E-5,0.159,0.907,102.034,4.0,1.0,2017.0
2.0,2.0,223988.0,72.0,259195.0,0.663,0.92,11.0,-4.07,0.0,0.226,0.00431,1.69E-5,0.101,0.533,99.935,4.0,1.0,2016.0
3.0,0.0,210943.0,73.0,222560.0,0.761,0.838,4.0,-3.073,0.0,0.0502,0.4,0.0,0.176,0.71,93.974,4.0,1.0,2016.0
4.0,1.0,173865.0,0.0,205600.0,0.508,0.687,0.0,-4.361,1.0,0.326,0.551,3.41E-6,0.126,0.555,180.044,4.0,1.0,2016.0
5.0,2.0,153956.0,0.0,234320.0,0.899,0.626,6.0,-4.228,0.0,0.292,0.076,0.0,0.0631,0.873,88.007,4.0,0.0,2016.0
6.0,0.0,151140.0,0.0,228466.0,0.776,0.669,11.0,-4.933,1.0,0.0638,0.142,0.0,0.219,0.661,91.012,4.0,1.0,2016.0
7.0,0.0,148369.0,56.0,195274.0,0.588,0.682,11.0,-7.169,0.0,0.173,0.0851,2.69E-5,0.084,0.937,205.643,4.0,1.0,2016.0
8.0,0.0,143004.0,74.0,209453.0,0.832,0.772,10.0,-5.429,1.0,0.1,0.0559,4.86E-4,0.44,0.704,96.016,4.0,1.0,2016.0
9.0,2.0,126389.0,59.0,227706.0,0.736,0.964,0.0,-2.147,1.0,0.129,0.198,2.32E-6,0.336,0.953,179.935,4.0,1.0,2017.0
10.0,0.0,112012.0,0.0,226400.0,0.721,0.687,1.0,-6.682,1.0,0.0782,0.0998,0.0,0.0679,0.825,175.914,4.0,1.0,2016.0
11.0,1.0,110395.0,0.0,247493.0,0.68,0.954,9.0,-1.823,1.0,0.119,0.0244,0.0,0.112,0.521,104.029,4.0,1.0,2016.0
12.0,2.0,104592.0,66.0,227693.0,0.78,0.929,11.0,-0.739,0.0,0.0532,0.171,0.0,0.0677,0.837,95.012,4.0,1.0,2016.0
13.0,2.0,101535.0,80.0,207306.0,0.73,0.701,5.0,-5.885,0.0,0.106,0.132,0.0,0.151,0.785,175.95,4.0,0.0,2015.0
14.0,0.0,99722.0,0.0,224320.0,0.723,0.889,0.0,-4.017,1.0,0.0939,0.0673,0.0,0.363,0.701,101.032,4.0,0.0,2016.0
15.0,0.0,95010.0,69.0,210322.0,0.76,0.838,7.0,-3.828,0.0,0.0529,0.547,1.3E-6,0.0664,0.745,93.05,4.0,1.0,2016.0
16.0,2.0,92723.0,48.0,254069.0,0.598,0.917,0.0,-3.455,1.0,0.159,0.117,0.0,0.398,0.575,180.049,4.0,1.0,2016.0
17.0,2.0,91325.0,69.0,199693.0,0.716,0.908,8.0,-3.254,0.0,0.103,0.0858,0.0,0.135,0.869,91.03,4.0,1.0,2016.0
18.0,0.0,87926.0,2.0,205946.0,0.476,0.718,8.0,-5.309,1.0,0.0576,0.0784,1.02E-5,0.122,0.142,199.864,4.0,0.0,2016.0
19.0,1.0,87033.0,0.0,199495.0,0.549,0.798,6.0,-4.185,1.0,0.0705,0.126,0.0,0.329,0.905,100.054,4.0,1.0,2016.0
20.0,0.0,86103.0,0.0,238800.0,0.772,0.909,6.0,-3.225,0.0,0.166,0.256,0.0,0.255,0.694,96.031,4.0,1.0,2016.0
21.0,1.0,76123.0,74.0,251088.0,0.72,0.763,9.0,-4.068,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,4.0,0.0,2016.0
22.0,2.0,71963.0,0.0,190040.0,0.608,0.859,6.0,-5.58,0.0,0.185,0.115,0.0,0.325,0.8,190.065,4.0,1.0,2016.0
23.0,2.0,71892.0,0.0,252003.0,0.761,0.829,0.0,-3.203,0.0,0.0681,0.167,0.0,0.189,0.813,92.033,4.0,1.0,2016.0
24.0,2.0,71498.0,23.0,173986.0,0.791,0.619,1.0,-5.886,1.0,0.0532,0.00784,0.00423,0.351,0.371,103.989,4.0,0.0,2016.0
25.0,1.0,70795.0,80.0,219159.0,0.818,0.913,4.0,-3.06,0.0,0.0426,0.093,3.69E-5,0.161,0.536,119.986,4.0,0.0,2016.0
26.0,1.0,70260.0,0.0,185351.0,0.608,0.798,6.0,-5.092,0.0,0.0432,0.0736,0.0,0.156,0.501,92.943,4.0,0.0,2016.0
27.0,2.0,70028.0,74.0,203160.0,0.616,0.989,9.0,-1.698,0.0,0.0483,0.166,0.0,0.172,0.902,95.036,4.0,1.0,2016.0
28.0,2.0,69382.0,0.0,185438.0,0.828,0.849,10.0,-4.43,1.0,0.0749,0.162,0.0,0.0967,0.966,100.014,4.0,1.0,2015.0
30.0,0.0,64998.0,0.0,228662.0,0.744,0.754,8.0,-3.829,1.0,0.24,0.0213,1.33E-6,0.14,0.841,180.039,4.0,1.0,2016.0
32.0,0.0,61714.0,0.0,214480.0,0.783,0.623,7.0,-6.126,1.0,0.08,0.338,0.0,0.0975,0.447,100.048,4.0,0.0,2016.0
33.0,2.0,59903.0,45.0,231480.0,0.733,0.907,4.0,-4.002,0.0,0.158,0.0264,1.13E-6,0.1,0.661,96.053,4.0,1.0,2016.0
34.0,0.0,58801.0,80.0,225983.0,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,4.0,0.0,2016.0
35.0,2.0,56170.0,80.0,236001.0,0.666,0.83,0.0,-5.715,1.0,0.0751,0.0123,0.0,0.191,0.702,113.03,4.0,0.0,2016.0
36.0,2.0,55902.0,52.0,167453.0,0.745,0.66,0.0,-5.461,1.0,0.0878,0.0575,0.0,0.108,0.934,95.154,4.0,1.0,2017.0
37.0,2.0,55360.0,0.0,209426.0,0.729,0.888,10.0,-2.864,1.0,0.122,0.117,1.55E-5,0.125,0.8,177.908,4.0,1.0,2016.0
38.0,0.0,54980.0,23.0,195840.0,0.49,0.485,4.0,-6.237,0.0,0.0406,0.0592,0.0,0.337,0.196,133.889,4.0,0.0,2017.0
39.0,2.0,54081.0,28.0,146173.0,0.785,0.764,11.0,-6.364,1.0,0.0382,0.135,0.0,0.0622,0.972,105.979,4.0,1.0,2016.0
41.0,0.0,52907.0,55.0,219226.0,0.768,0.742,9.0,-6.308,1.0,0.0443,0.234,0.0,0.14,0.797,114.679,5.0,1.0,2016.0
42.0,0.0,52670.0,0.0,239151.0,0.765,0.814,0.0,-3.14,1.0,0.0666,0.144,0.0,0.61,0.818,164.073,4.0,1.0,2016.0
43.0,0.0,51352.0,0.0,211626.0,0.761,0.82,1.0,-4.003,1.0,0.0623,0.125,2.1E-5,0.183,0.619,88.997,4.0,0.0,2016.0
44.0,2.0,51115.0,55.0,181269.0,0.782,0.791,11.0,-6.038,0.0,0.102,0.144,0.0,0.169,0.896,96.022,4.0,1.0,2015.0
45.0,2.0,51113.0,63.0,182746.0,0.783,0.748,8.0,-4.683,1.0,0.0892,0.147,0.0,0.173,0.806,93.222,4.0,0.0,2016.0
47.0,2.0,49100.0,66.0,178291.0,0.752,0.753,2.0,-5.84,1.0,0.0661,0.104,0.0,0.0705,0.911,112.094,4.0,1.0,2015.0
48.0,0.0,48767.0,48.0,208053.0,0.542,0.859,11.0,-5.651,1.0,0.197,0.16,0.00466,0.137,0.403,159.797,4.0,0.0,2016.0
49.0,2.0,47672.0,74.0,198706.0,0.832,0.608,6.0,-6.042,0.0,0.0385,0.282,0.0,0.0761,0.589,94.013,4.0,1.0,2017.0
50.0,2.0,45251.0,52.0,173946.0,0.753,0.811,7.0,-5.724,1.0,0.0697,0.117,0.0,0.211,0.961,106.014,4.0,1.0,2015.0
52.0,0.0,44495.0,70.0,197840.0,0.827,0.646,1.0,-4.727,0.0,0.0766,0.0724,0.0,0.247,0.512,92.057,4.0,0.0,2015.0
53.0,2.0,43894.0,62.0,144992.0,0.698,0.694,0.0,-4.621,1.0,0.0419,0.284,0.0,0.132,0.926,144.018,1.0,1.0,2015.0
54.0,0.0,43704.0,0.0,196520.0,0.796,0.291,5.0,-11.894,1.0,0.0403,0.836,0.0,0.126,0.923,176.03,4.0,1.0,2016.0
55.0,0.0,43403.0,86.0,244960.0,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,4.0,0.0,2016.0
56.0,2.0,43260.0,61.0,131004.0,0.723,0.774,11.0,-3.939,0.0,0.0403,0.179,0.0,0.113,0.771,109.1,4.0,1.0,2016.0
57.0,0.0,42815.0,0.0,187973.0,0.624,0.803,10.0,-4.105,0.0,0.246,0.123,0.0,0.114,0.821,166.018,4.0,0.0,2017.0
58.0,2.0,42785.0,53.0,146592.0,0.775,0.882,0.0,-2.803,1.0,0.04,0.0922,0.0,0.108,0.845,110.025,4.0,1.0,2016.0
59.0,1.0,42127.0,38.0,160745.0,0.796,0.838,8.0,-5.157,1.0,0.0574,0.244,0.0,0.333,0.96,106.007,4.0,1.0,2016.0
60.0,2.0,41737.0,60.0,130909.0,0.75,0.716,7.0,-5.438,0.0,0.0336,0.11,0.0,0.0912,0.881,110.068,4.0,1.0,2015.0
61.0,2.0,40065.0,62.0,146240.0,0.75,0.943,11.0,-4.28,1.0,0.228,0.279,0.0,0.0808,0.779,90.095,4.0,1.0,2007.0
62.0,0.0,39691.0,74.0,206693.0,0.702,0.73,0.0,-5.173,0.0,0.099,0.425,1.25E-6,0.148,0.879,173.967,4.0,0.0,2015.0
63.0,0.0,37518.0,0.0,208720.0,0.766,0.747,1.0,-3.95,0.0,0.0619,0.0293,0.0,0.38,0.856,91.06,4.0,1.0,2016.0
64.0,2.0,36808.0,53.0,150047.0,0.851,0.867,0.0,-5.062,1.0,0.0589,0.0514,2.33E-5,0.0361,0.77,112.178,4.0,1.0,2016.0
65.0,0.0,36510.0,43.0,218640.0,0.751,0.742,0.0,-4.393,0.0,0.12,0.367,0.0,0.0946,0.85,173.941,4.0,1.0,2016.0
66.0,2.0,35965.0,49.0,165759.0,0.778,0.86,2.0,-4.256,1.0,0.0672,0.169,0.0,0.329,0.707,112.093,4.0,1.0,2016.0
67.0,2.0,35806.0,54.0,149160.0,0.837,0.605,0.0,-6.122,0.0,0.0798,0.0124,0.0,0.0715,0.723,107.998,4.0,1.0,2016.0
68.0,0.0,34879.0,0.0,170346.0,0.808,0.59,0.0,-5.699,0.0,0.0455,0.0319,0.0,0.169,0.745,110.029,4.0,1.0,2015.0
69.0,2.0,34638.0,68.0,211680.0,0.725,0.903,0.0,-2.955,1.0,0.0658,0.0344,0.0,0.183,0.946,142.006,4.0,1.0,2015.0
70.0,2.0,34542.0,0.0,171093.0,0.763,0.812,5.0,-6.469,0.0,0.0792,0.187,8.48E-4,0.0752,0.828,101.95,4.0,1.0,2016.0
71.0,0.0,33892.0,41.0,222040.0,0.67,0.838,0.0,-4.031,1.0,0.0362,0.0604,6.11E-4,0.159,0.717,104.998,4.0,0.0,2016.0
72.0,2.0,33188.0,75.0,205906.0,0.628,0.69,8.0,-5.83,1.0,0.0511,0.443,0.0,0.113,0.66,179.908,4.0,1.0,2017.0
73.0,2.0,33111.0,45.0,185431.0,0.652,0.733,4.0,-6.368,0.0,0.0906,0.0456,0.0,0.103,0.754,108.062,4.0,1.0,2016.0
74.0,0.0,32778.0,0.0,156923.0,0.609,0.703,7.0,-6.567,1.0,0.0939,0.0662,0.0,0.377,0.715,209.86,4.0,1.0,2016.0
75.0,0.0,32198.0,63.0,197647.0,0.671,0.826,7.0,-5.766,0.0,0.309,0.00718,0.0,0.631,0.774,123.986,4.0,0.0,2016.0
76.0,0.0,30754.0,77.0,269186.0,0.773,0.819,0.0,-5.946,0.0,0.118,0.426,0.0,0.0679,0.585,92.99,4.0,0.0,2016.0
77.0,2.0,30623.0,0.0,196360.0,0.875,0.709,6.0,-6.692,0.0,0.0923,0.0866,1.71E-5,0.0604,0.793,99.948,4.0,1.0,2016.0
78.0,2.0,30368.0,67.0,240853.0,0.747,0.907,10.0,-1.921,1.0,0.0515,0.316,0.0,0.0879,0.757,98.005,4.0,1.0,2016.0
79.0,0.0,29979.0,0.0,325265.0,0.737,0.699,6.0,-5.804,0.0,0.15,0.222,1.52E-5,0.0785,0.42,135.998,4.0,1.0,2016.0
80.0,0.0,29609.0,59.0,198774.0,0.647,0.932,11.0,-3.515,1.0,0.0824,0.00383,1.5E-6,0.0574,0.374,114.991,4.0,0.0,2016.0
82.0,0.0,28781.0,51.0,240000.0,0.688,0.719,2.0,-4.746,1.0,0.0555,0.163,0.0,0.15,0.605,88.015,4.0,1.0,2015.0
83.0,2.0,28728.0,57.0,146506.0,0.39,0.641,0.0,-5.807,1.0,0.0663,0.0738,0.0,0.0724,0.931,48.754,4.0,1.0,2015.0
84.0,2.0,28288.0,46.0,212160.0,0.534,0.749,6.0,-5.562,0.0,0.0749,0.0776,1.47E-6,0.0906,0.671,179.975,4.0,0.0,2016.0
85.0,2.0,27694.0,37.0,201000.0,0.499,0.879,9.0,-2.804,1.0,0.164,0.158,0.0,0.0998,0.959,205.829,4.0,1.0,2015.0
86.0,0.0,26885.0,77.0,211666.0,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4.0,0.0,2016.0
87.0,0.0,26840.0,78.0,214480.0,0.803,0.585,8.0,-5.861,1.0,0.0432,0.103,3.94E-6,0.0644,0.593,105.017,4.0,0.0,2016.0
88.0,0.0,26777.0,57.0,217706.0,0.728,0.563,1.0,-8.053,0.0,0.134,0.621,0.0,0.179,0.352,100.017,4.0,0.0,2015.0
90.0,2.0,25525.0,46.0,299320.0,0.611,0.87,4.0,-2.257,1.0,0.0347,0.115,2.93E-6,0.101,0.847,142.003,4.0,1.0,2016.0
91.0,2.0,24999.0,55.0,215453.0,0.785,0.838,7.0,-5.951,0.0,0.0381,0.362,6.43E-6,0.139,0.765,100.066,4.0,1.0,2017.0
92.0,0.0,24874.0,47.0,215051.0,0.771,0.825,0.0,-4.009,1.0,0.0441,0.305,0.0,0.11,0.812,92.009,4.0,1.0,2016.0
93.0,2.0,24819.0,50.0,185720.0,0.69,0.706,2.0,-3.916,1.0,0.0414,0.222,0.0,0.165,0.851,114.824,4.0,1.0,2012.0
94.0,2.0,24369.0,0.0,181754.0,0.629,0.763,7.0,-5.572,1.0,0.0926,0.0831,0.00388,0.0455,0.886,94.009,4.0,0.0,2016.0
95.0,0.0,24358.0,0.0,218173.0,0.614,0.58,10.0,-6.429,0.0,0.0588,0.308,0.0,0.0863,0.63,120.092,5.0,0.0,2017.0
96.0,2.0,24345.0,22.0,158469.0,0.703,0.848,11.0,-5.522,1.0,0.0616,0.328,0.0,0.0567,0.922,105.981,4.0,1.0,2016.0
98.0,2.0,24133.0,57.0,234626.0,0.76,0.775,7.0,-6.579,1.0,0.0784,0.148,0.0,0.0886,0.754,101.946,4.0,1.0,2013.0
99.0,2.0,24077.0,59.0,137190.0,0.507,0.732,0.0,-5.256,1.0,0.055,0.206,0.0,0.0913,0.946,142.568,3.0,1.0,2015.0
100.0,2.0,23981.0,0.0,175804.0,0.646,0.784,7.0,-6.096,0.0,0.0342,0.128,0.00637,0.0974,0.978,150.165,3.0,1.0,2017.0
