rank,trend,streams,popularity,duration_ms,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,language_id,date
101.0,2.0,23646.0,69.0,243413.0,0.723,0.777,7.0,-3.503,1.0,0.108,0.0426,3.68E-6,0.0451,0.961,91.017,4.0,0.0,2014.0
102.0,0.0,23181.0,51.0,225072.0,0.698,0.868,8.0,-3.016,0.0,0.0855,0.259,1.23E-6,0.0783,0.485,102.989,4.0,1.0,2017.0
155.0,0.0,18065.0,71.0,186976.0,0.841,0.694,7.0,-5.114,0.0,0.0937,0.0759,0.0,0.102,0.83,90.034,4.0,1.0,2016.0
103.0,1.0,23178.0,0.0,250836.0,0.641,0.826,11.0,-3.69,1.0,0.223,0.0536,0.0,0.18,0.845,179.988,4.0,1.0,2015.0
104.0,1.0,23090.0,0.0,182973.0,0.841,0.902,7.0,-5.114,1.0,0.0308,0.534,1.53E-4,0.054,0.942,98.044,4.0,1.0,1980.0
105.0,1.0,23046.0,0.0,220813.0,0.771,0.852,8.0,-4.61,1.0,0.0406,0.336,1.81E-5,0.181,0.919,96.067,4.0,1.0,1980.0
106.0,0.0,22948.0,55.0,252493.0,0.644,0.895,8.0,-3.669,1.0,0.0469,0.172,0.0,0.285,0.887,169.98,4.0,1.0,2016.0
108.0,2.0,22560.0,30.0,208000.0,0.669,0.902,7.0,-3.386,1.0,0.0334,0.0454,0.0,0.0937,0.94,104.971,4.0,1.0,2016.0
109.0,2.0,22396.0,54.0,160783.0,0.758,0.848,10.0,-6.664,1.0,0.057,0.0605,0.0,0.0807,0.885,113.973,4.0,1.0,2016.0
110.0,2.0,22073.0,52.0,175255.0,0.715,0.736,11.0,-6.276,0.0,0.0347,0.277,0.0,0.0996,0.76,99.871,4.0,1.0,2015.0
111.0,0.0,22060.0,68.0,210226.0,0.668,0.725,1.0,-6.127,1.0,0.266,0.0102,4.79E-4,0.0561,0.729,191.944,4.0,0.0,2016.0
112.0,0.0,22015.0,83.0,214506.0,0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.566,74.989,4.0,0.0,2015.0
113.0,0.0,21803.0,60.0,246653.0,0.725,0.711,10.0,-4.544,1.0,0.0335,0.0821,0.0,0.0931,0.477,93.003,4.0,1.0,2016.0
114.0,1.0,21584.0,59.0,206760.0,0.849,0.759,9.0,-6.232,0.0,0.0304,0.0951,1.21E-4,0.127,0.948,110.983,4.0,1.0,2017.0
115.0,2.0,21405.0,33.0,215386.0,0.741,0.907,1.0,-3.418,0.0,0.0325,0.0901,0.0,0.214,0.912,109.973,4.0,1.0,2015.0
116.0,0.0,21354.0,23.0,233720.0,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,4.0,0.0,2015.0
117.0,2.0,21108.0,36.0,195800.0,0.683,0.592,1.0,-7.912,0.0,0.0419,0.098,0.0,0.0895,0.909,104.952,4.0,1.0,2016.0
118.0,2.0,20952.0,39.0,179680.0,0.825,0.792,9.0,-6.012,1.0,0.0666,0.0225,0.0,0.0536,0.914,119.994,4.0,1.0,2013.0
119.0,0.0,20942.0,54.0,250466.0,0.695,0.814,4.0,-5.35,1.0,0.0461,0.0571,8.53E-5,0.296,0.874,169.988,4.0,1.0,2016.0
120.0,2.0,20900.0,32.0,206760.0,0.727,0.906,0.0,-4.926,1.0,0.0393,0.0687,0.0,0.376,0.818,106.992,4.0,1.0,2015.0
121.0,1.0,20643.0,24.0,210657.0,0.709,0.79,1.0,-6.319,1.0,0.0511,0.569,0.0,0.128,0.781,97.105,4.0,1.0,2016.0
122.0,0.0,20349.0,86.0,222160.0,0.631,0.927,9.0,-2.787,0.0,0.0332,0.199,0.119,0.148,0.465,123.962,4.0,0.0,2016.0
123.0,0.0,20121.0,0.0,255840.0,0.72,0.933,9.0,-3.234,1.0,0.0904,0.205,0.0,0.172,0.581,104.099,4.0,1.0,2016.0
124.0,0.0,19920.0,0.0,195546.0,0.793,0.729,0.0,-4.77,0.0,0.0394,0.08,3.1E-5,0.317,0.488,121.972,4.0,0.0,2016.0
125.0,1.0,19889.0,0.0,161239.0,0.767,0.901,2.0,-1.975,1.0,0.0862,0.319,0.0,0.172,0.751,94.023,4.0,1.0,1980.0
126.0,2.0,19864.0,46.0,166506.0,0.709,0.819,8.0,-5.82,0.0,0.0559,0.127,0.0,0.0672,0.897,104.969,4.0,1.0,2015.0
127.0,0.0,19775.0,23.0,200786.0,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,4.0,0.0,2015.0
128.0,2.0,19753.0,55.0,139500.0,0.69,0.81,11.0,-4.2,0.0,0.042,0.211,0.0,0.147,0.891,142.351,3.0,1.0,2015.0
130.0,1.0,19577.0,0.0,134217.0,0.766,0.548,11.0,-4.756,1.0,0.0404,0.0333,0.0,0.253,0.791,95.983,4.0,1.0,2015.0
131.0,2.0,19523.0,0.0,240320.0,0.793,0.853,1.0,-3.655,1.0,0.0477,0.0937,0.0,0.085,0.906,164.022,4.0,1.0,2014.0
132.0,0.0,19427.0,0.0,206400.0,0.676,0.708,9.0,-6.989,1.0,0.225,0.00251,1.34E-4,0.0515,0.435,100.025,4.0,0.0,2016.0
133.0,0.0,19335.0,76.0,307910.0,0.639,0.869,11.0,-4.024,1.0,0.147,0.27,0.0,0.0802,0.767,169.801,4.0,1.0,2016.0
134.0,0.0,19334.0,82.0,195920.0,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58E-5,0.105,0.548,90.024,4.0,0.0,2016.0
135.0,1.0,19319.0,60.0,354626.0,0.614,0.702,0.0,-10.145,1.0,0.0316,0.0759,0.0,0.297,0.851,147.98,4.0,1.0,1998.0
136.0,1.0,19272.0,0.0,249800.0,0.869,0.691,7.0,-6.872,1.0,0.192,0.12,0.0,0.102,0.875,95.019,4.0,1.0,2015.0
137.0,0.0,19192.0,0.0,167038.0,0.707,0.883,0.0,-4.281,1.0,0.0602,0.0707,0.0,0.23,0.541,106.031,4.0,0.0,2016.0
138.0,1.0,19093.0,0.0,238533.0,0.778,0.813,5.0,-6.486,1.0,0.0304,0.371,8.16E-5,0.148,0.962,140.031,4.0,1.0,1980.0
139.0,0.0,18931.0,47.0,177799.0,0.723,0.929,9.0,-3.022,0.0,0.106,0.119,0.0,0.171,0.812,92.964,4.0,1.0,2016.0
140.0,0.0,18823.0,36.0,212647.0,0.564,0.849,0.0,-3.516,0.0,0.0517,0.00868,4.68E-6,0.12,0.427,102.028,4.0,0.0,2015.0
141.0,0.0,18810.0,40.0,237290.0,0.745,0.875,0.0,-4.231,1.0,0.0444,0.0659,1.5E-6,0.366,0.728,88.007,4.0,1.0,2016.0
142.0,0.0,18769.0,63.0,212161.0,0.77,0.612,9.0,-7.755,0.0,0.086,0.0789,0.0,0.153,0.63,90.02,4.0,1.0,2017.0
143.0,1.0,18741.0,63.0,203933.0,0.74,0.768,2.0,-5.037,0.0,0.0603,0.199,0.0,0.0832,0.867,164.145,4.0,1.0,2004.0
144.0,0.0,18555.0,0.0,194933.0,0.806,0.82,7.0,-4.304,0.0,0.0617,0.449,1.97E-5,0.117,0.845,94.985,4.0,1.0,2016.0
145.0,1.0,18527.0,0.0,177493.0,0.648,0.833,2.0,-5.42,1.0,0.0301,0.104,0.0,0.39,0.91,141.918,4.0,1.0,2011.0
146.0,2.0,18433.0,53.0,160574.0,0.549,0.645,10.0,-5.156,0.0,0.148,0.0959,0.0,0.271,0.909,200.174,4.0,1.0,2016.0
147.0,1.0,18428.0,57.0,302800.0,0.51,0.942,9.0,-5.426,0.0,0.0939,0.155,0.0,0.822,0.818,158.372,4.0,1.0,2011.0
148.0,2.0,18284.0,55.0,178464.0,0.812,0.751,2.0,-4.855,1.0,0.0473,0.139,0.0,0.357,0.904,87.985,4.0,1.0,2016.0
149.0,1.0,18253.0,0.0,250760.0,0.767,0.702,4.0,-5.952,0.0,0.0316,0.157,9.07E-5,0.0633,0.869,104.619,4.0,1.0,1980.0
150.0,2.0,18247.0,50.0,163751.0,0.802,0.674,2.0,-7.033,1.0,0.0562,0.152,4.68E-6,0.0838,0.83,110.02,4.0,1.0,2016.0
151.0,1.0,18237.0,57.0,243920.0,0.662,0.813,11.0,-9.044,1.0,0.0425,0.278,5.63E-4,0.0587,0.96,100.855,4.0,1.0,2015.0
152.0,2.0,18209.0,0.0,162840.0,0.661,0.907,10.0,-1.621,0.0,0.203,0.0799,0.0,0.242,0.87,94.069,4.0,1.0,2014.0
153.0,0.0,18126.0,0.0,201200.0,0.769,0.764,11.0,-3.522,0.0,0.175,0.194,0.0,0.136,0.592,89.991,4.0,1.0,2016.0
154.0,0.0,18103.0,0.0,275945.0,0.78,0.845,10.0,-4.748,1.0,0.0724,0.195,0.0,0.284,0.694,95.981,4.0,1.0,2014.0
88.0,2.0,20351.0,59.0,206760.0,0.849,0.759,9.0,-6.232,0.0,0.0304,0.0951,1.21E-4,0.127,0.948,110.983,4.0,1.0,2017.0
156.0,1.0,17636.0,0.0,277173.0,0.736,0.73,2.0,-5.534,1.0,0.0537,0.614,0.0,0.278,0.888,150.113,4.0,1.0,1980.0
157.0,1.0,17626.0,0.0,194533.0,0.84,0.65,2.0,-7.556,1.0,0.0678,0.112,7.19E-5,0.117,0.747,92.698,4.0,1.0,2013.0
158.0,0.0,17442.0,0.0,276688.0,0.67,0.679,7.0,-5.618,1.0,0.118,0.189,0.0,0.168,0.798,172.069,4.0,1.0,2016.0
159.0,0.0,17336.0,50.0,241876.0,0.754,0.618,7.0,-6.528,1.0,0.13,0.213,0.0,0.102,0.477,87.983,4.0,1.0,2017.0
160.0,0.0,17168.0,0.0,189000.0,0.639,0.828,0.0,-3.071,1.0,0.0775,0.0545,0.0,0.0443,0.952,178.033,4.0,0.0,2016.0
161.0,0.0,17000.0,56.0,205386.0,0.402,0.767,11.0,-3.683,1.0,0.041,0.0513,0.0,0.143,0.328,155.933,4.0,1.0,2014.0
162.0,1.0,16874.0,51.0,149812.0,0.724,0.654,11.0,-8.37,0.0,0.0985,0.164,0.0,0.229,0.708,139.451,3.0,1.0,2016.0
163.0,1.0,16865.0,0.0,167053.0,0.731,0.863,2.0,-5.331,1.0,0.0377,0.125,0.0,0.195,0.963,107.992,4.0,1.0,2016.0
164.0,0.0,16845.0,86.0,202333.0,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29E-5,0.0602,0.648,169.977,4.0,0.0,2015.0
165.0,0.0,16789.0,0.0,231157.0,0.777,0.687,9.0,-5.667,0.0,0.0722,0.0385,0.0,0.134,0.692,89.998,4.0,1.0,2016.0
166.0,1.0,16760.0,0.0,196306.0,0.614,0.876,9.0,-3.632,0.0,0.0299,0.385,1.08E-5,0.215,0.788,96.326,4.0,1.0,1980.0
167.0,0.0,16734.0,0.0,193733.0,0.681,0.793,0.0,-6.42,1.0,0.0922,0.0154,1.94E-6,0.101,0.569,125.03,4.0,0.0,2016.0
168.0,0.0,16670.0,0.0,229240.0,0.743,0.771,5.0,-7.648,0.0,0.319,0.396,8.28E-4,0.445,0.775,171.935,4.0,1.0,2016.0
169.0,0.0,16642.0,0.0,233666.0,0.743,0.773,9.0,-4.787,1.0,0.109,0.202,0.0,0.0896,0.794,88.95,4.0,1.0,2016.0
170.0,1.0,16424.0,13.0,219021.0,0.7,0.809,5.0,-2.912,1.0,0.0301,0.0277,0.0,0.172,0.691,104.032,4.0,0.0,2016.0
171.0,1.0,16390.0,53.0,160768.0,0.749,0.714,0.0,-4.826,0.0,0.0328,0.382,0.0,0.304,0.962,109.905,4.0,1.0,2015.0
172.0,0.0,16305.0,66.0,221053.0,0.748,0.866,11.0,-3.41,0.0,0.057,0.111,0.0,0.0727,0.839,96.037,4.0,0.0,2015.0
173.0,1.0,16260.0,55.0,313546.0,0.493,0.939,9.0,-5.648,0.0,0.0609,0.0755,1.21E-6,0.976,0.765,160.082,4.0,1.0,2011.0
174.0,2.0,16202.0,18.0,175800.0,0.788,0.886,6.0,-5.912,0.0,0.081,0.243,0.0,0.568,0.89,99.938,4.0,0.0,2016.0
175.0,0.0,16184.0,0.0,166138.0,0.746,0.877,9.0,-3.782,0.0,0.0666,0.0375,8.33E-4,0.233,0.751,107.985,4.0,0.0,2015.0
177.0,0.0,16070.0,75.0,229160.0,0.652,0.607,0.0,-8.657,1.0,0.0368,0.0314,0.00285,0.0721,0.72,94.089,4.0,1.0,1985.0
178.0,2.0,16013.0,40.0,178440.0,0.709,0.637,10.0,-6.261,1.0,0.0434,0.443,0.0,0.197,0.899,98.055,4.0,1.0,2015.0
179.0,0.0,15920.0,0.0,244353.0,0.703,0.915,1.0,-2.893,1.0,0.0586,0.146,0.0,0.11,0.54,104.876,4.0,1.0,2016.0
181.0,0.0,15804.0,0.0,214866.0,0.599,0.838,0.0,-5.16,1.0,0.0996,0.0272,0.0,0.33,0.847,128.854,4.0,0.0,2016.0
182.0,0.0,15747.0,37.0,195313.0,0.739,0.833,1.0,-5.012,1.0,0.0463,0.35,0.0,0.266,0.699,117.99,4.0,0.0,2017.0
183.0,0.0,15701.0,47.0,231866.0,0.556,0.756,11.0,-3.377,1.0,0.0326,0.192,0.0,0.135,0.411,89.957,4.0,1.0,2016.0
184.0,1.0,15600.0,62.0,248786.0,0.686,0.776,1.0,-3.601,1.0,0.0837,0.16,1.02E-5,0.133,0.94,179.915,4.0,1.0,2007.0
185.0,1.0,15501.0,44.0,203773.0,0.719,0.709,7.0,-3.918,1.0,0.0333,0.0277,0.0,0.107,0.931,111.919,4.0,1.0,2012.0
186.0,0.0,14952.0,0.0,212040.0,0.74,0.859,0.0,-4.742,0.0,0.033,0.0365,1.08E-5,0.0639,0.782,130.011,4.0,0.0,2015.0
187.0,0.0,14900.0,0.0,248093.0,0.715,0.656,8.0,-5.673,1.0,0.0484,0.391,0.0,0.115,0.593,110.055,4.0,1.0,2016.0
188.0,0.0,14834.0,81.0,263786.0,0.638,0.924,7.0,-3.887,1.0,0.036,0.00205,1.75E-4,0.149,0.53,111.995,4.0,0.0,2015.0
189.0,0.0,14786.0,54.0,206013.0,0.63,0.713,0.0,-5.8,1.0,0.0443,0.264,0.0,0.185,0.547,81.999,4.0,1.0,2016.0
190.0,0.0,14783.0,75.0,210920.0,0.639,0.785,10.0,-6.167,0.0,0.174,0.0174,0.00107,0.0512,0.686,191.95,4.0,0.0,2016.0
191.0,0.0,14684.0,63.0,281920.0,0.637,0.455,11.0,-4.254,1.0,0.0308,0.165,0.0,0.26,0.619,147.233,4.0,1.0,2014.0
192.0,0.0,14498.0,0.0,205680.0,0.845,0.567,5.0,-8.118,0.0,0.0956,0.59,0.00142,0.0811,0.793,125.02,4.0,0.0,2015.0
194.0,1.0,14483.0,33.0,177346.0,0.755,0.859,2.0,-6.138,1.0,0.0345,0.0865,0.0,0.256,0.926,100.024,4.0,1.0,2015.0
195.0,1.0,14419.0,0.0,183266.0,0.773,0.918,9.0,-3.443,0.0,0.0461,0.236,9.3E-6,0.053,0.921,99.966,4.0,1.0,1980.0
196.0,1.0,14397.0,54.0,155520.0,0.68,0.73,2.0,-5.713,1.0,0.0315,0.1,1.25E-6,0.089,0.935,108.997,4.0,1.0,2016.0
197.0,0.0,14304.0,23.0,176561.0,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4.0,0.0,2015.0
199.0,1.0,14232.0,45.0,234813.0,0.534,0.734,1.0,-5.277,0.0,0.229,0.0183,0.0,0.332,0.809,210.158,4.0,1.0,2015.0
